quantity_id,Quantity,Value,Difficulty,Category
477,smaller angle between hour and minute hands at 7:02 in degrees,162.0,3.0,clock
478,smaller angle between hour and minute hands at 7:58 in degrees,138.0,3.0,clock
479,smaller angle between hour and minute hands at 8:10 in degrees,180.0,3.0,clock
480,smaller angle between hour and minute hands at 8:44 in degrees,24.0,3.0,clock
481,smaller angle between hour and minute hands at 8:46 in degrees,36.0,3.0,clock
482,smaller angle between hour and minute hands at 8:48 in degrees,48.0,3.0,clock
483,smaller angle between hour and minute hands at 10:14 in degrees,144.0,3.0,clock
484,smaller angle between hour and minute hands at 10:32 in degrees,108.0,3.0,clock
485,smaller angle between hour and minute hands at 11:10 in degrees,90.0,3.0,clock
486,smaller angle between hour and minute hands at 11:16 in degrees,126.0,3.0,clock
487,smaller angle between hour and minute hands at 11:18 in degrees,138.0,3.0,clock
488,smaller angle between hour and minute hands at 11:20 in degrees,150.0,3.0,clock
489,value of 1 penny in cents,1.0,1.0,coins
490,value of 2 pennies in cents,2.0,1.0,coins
491,value of 3 pennies in cents,3.0,1.0,coins
492,value of 4 pennies in cents,4.0,1.0,coins
493,value of 1 nickel in cents,5.0,1.0,coins
494,value of 1 nickel and 1 penny in cents,6.0,1.0,coins
495,value of 1 nickel and 3 pennies in cents,8.0,1.0,coins
496,value of 1 nickel and 4 pennies in cents,9.0,1.0,coins
497,value of 2 nickels in cents,10.0,1.0,coins
498,value of 2 nickels and 1 penny in cents,11.0,1.0,coins
499,value of 2 nickels and 2 pennies in cents,12.0,1.0,coins
500,value of 2 nickels and 3 pennies in cents,13.0,1.0,coins
501,value of 2 nickels and 4 pennies in cents,14.0,1.0,coins
502,value of 3 nickels in cents,15.0,1.0,coins
503,value of 3 nickels and 1 penny in cents,16.0,1.0,coins
504,value of 1 dime and 1 penny in cents,11.0,1.0,coins
505,value of 1 dime and 2 pennies in cents,12.0,1.0,coins
506,value of 1 dime and 2 nickels in cents,20.0,1.0,coins
507,"value of 1 dime, 2 nickels, and 1 penny in cents",21.0,1.0,coins
508,"value of 1 dime, 2 nickels, and 2 pennies in cents",22.0,1.0,coins
509,value of 1 dime and 3 nickels in cents,25.0,1.0,coins
510,"value of 1 dime, 3 nickels, and 1 penny in cents",26.0,1.0,coins
511,value of 2 dimes in cents,20.0,1.0,coins
512,value of 2 dimes and 1 penny in cents,21.0,1.0,coins
513,value of 2 dimes and 2 pennies in cents,22.0,1.0,coins
514,value of 2 dimes and 2 nickels in cents,30.0,1.0,coins
515,value of 3 dimes in cents,30.0,1.0,coins
516,value of 3 dimes and 1 penny in cents,31.0,1.0,coins
517,value of 3 dimes and 2 pennies in cents,32.0,1.0,coins
518,value of 3 dimes and 3 pennies in cents,33.0,1.0,coins
519,value of 3 dimes and 4 pennies in cents,34.0,1.0,coins
520,value of 3 dimes and 1 nickel in cents,35.0,1.0,coins
521,"value of 3 dimes, 1 nickel, and 1 penny in cents",36.0,1.0,coins
522,value of 3 dimes and 2 nickels in cents,40.0,1.0,coins
523,value of 1 quarter and 1 nickel in cents,30.0,1.0,coins
524,"value of 1 quarter, 1 nickel, and 1 penny in cents",31.0,1.0,coins
525,"value of 1 quarter, 1 nickel, and 2 pennies in cents",32.0,1.0,coins
526,"value of 1 quarter, 1 nickel, and 3 pennies in cents",33.0,1.0,coins
527,value of 2 quarters and 1 dime in cents,60.0,1.0,coins
528,"value of 2 quarters, 1 dime, and 1 penny in cents",61.0,1.0,coins
529,"value of 2 quarters, 1 dime, and 2 pennies in cents",62.0,1.0,coins
530,"value of 2 quarters, 1 dime, and 3 pennies in cents",63.0,1.0,coins
531,"value of 2 quarters, 1 dime, 2 nickels, and 2 pennies in cents",72.0,1.0,coins
532,"value of 2 quarters, 1 dime, 3 nickels, and 1 penny in cents",76.0,1.0,coins
533,value of 2 quarters and 2 dimes in cents,70.0,1.0,coins
534,"value of 2 quarters, 2 dimes, 1 nickel, and 1 penny in cents",76.0,1.0,coins
535,"value of 2 quarters, 2 dimes, 3 nickels, and 1 penny in cents",86.0,1.0,coins
536,value of 2 quarters and 3 dimes in cents,80.0,1.0,coins
537,"value of 2 quarters, 3 dimes, 1 nickel, and 1 penny in cents",86.0,1.0,coins
538,"value of 2 quarters, 3 dimes, 1 nickel, and 2 pennies in cents",87.0,1.0,coins
539,"value of 2 quarters, 3 dimes, 3 nickels, and 1 penny in cents",96.0,1.0,coins
540,value of 3 quarters in cents,75.0,1.0,coins
541,"value of 3 quarters, 1 dime, and 3 pennies in cents",88.0,1.0,coins
542,"value of 3 quarters, 1 dime, and 4 pennies in cents",89.0,1.0,coins
543,"value of 3 quarters, 1 dime, and 1 nickel in cents",90.0,1.0,coins
544,area of right triangle with perpendicular legs 2 units and 2 units,2.0,1.0,geometrical area
545,area of rectangle with sides 2 units and 3 units,6.0,1.0,geometrical area
546,area of right triangle with perpendicular legs 2 units and 3 units,3.0,1.0,geometrical area
547,area of right triangle with perpendicular legs 2 units and 4 units,4.0,1.0,geometrical area
548,area of rectangle with sides 2 units and 5 units,10.0,1.0,geometrical area
549,area of right triangle with perpendicular legs 2 units and 5 units,5.0,1.0,geometrical area
550,area of rectangle with sides 2 units and 6 units,12.0,1.0,geometrical area
551,area of right triangle with perpendicular legs 2 units and 6 units,6.0,1.0,geometrical area
552,area of rectangle with sides 2 units and 7 units,14.0,1.0,geometrical area
553,area of right triangle with perpendicular legs 2 units and 7 units,7.0,1.0,geometrical area
554,area of rectangle with sides 2 units and 10 units,20.0,1.0,geometrical area
555,area of right triangle with perpendicular legs 2 units and 10 units,10.0,1.0,geometrical area
556,area of right triangle with perpendicular legs 2 units and 12 units,12.0,1.0,geometrical area
557,area of rectangle with sides 2 units and 13 units,26.0,1.0,geometrical area
558,area of right triangle with perpendicular legs 3 units and 2 units,3.0,1.0,geometrical area
559,area of rectangle with sides 3 units and 4 units,12.0,1.0,geometrical area
560,area of rectangle with sides 3 units and 6 units,18.0,1.0,geometrical area
561,area of right triangle with perpendicular legs 3 units and 6 units,9.0,1.0,geometrical area
562,area of right triangle with perpendicular legs 4 units and 7 units,14.0,1.0,geometrical area
563,area of rectangle with sides 4 units and 9 units,36.0,1.0,geometrical area
564,area of right triangle with perpendicular legs 4 units and 9 units,18.0,1.0,geometrical area
565,area of rectangle with sides 4 units and 11 units,44.0,1.0,geometrical area
566,area of right triangle with perpendicular legs 4 units and 11 units,22.0,1.0,geometrical area
567,area of rectangle with sides 4 units and 13 units,52.0,1.0,geometrical area
568,area of square with side 5 units ,25.0,1.0,geometrical area
569,area of rectangle with sides 100 units and 20 units,2000.0,2.0,geometrical area
570,"area of rectangle with sides 1,000 units and 5 units",5000.0,2.0,geometrical area
571,area of circle with radius 1 unit to nearest square unit,3.0,3.0,geometrical area
572,area of circle with radius 2 unit to nearest square unit,13.0,3.0,geometrical area
573,area of circle with radius 10 unit to nearest square unit,314.0,3.0,geometrical area
574,area of circle with radius 3 unit to nearest square unit,28.0,3.0,geometrical area
575,area of circle with radius 100 units to nearest square unit,31416.0,4.0,geometrical area
576,area of square with side 10 units ,100.0,1.0,geometrical area
577,area of square with side 2 units,4.0,1.0,geometrical area
578,area of square with side 100 units,10000.0,2.0,geometrical area
579,area of rectangle with sides 10000 units and 20 units,200000.0,3.0,geometrical area
580,area of circle with radius 5 unit to nearest square unit,79,4.0,geometrical area
581,area of regular hexagon with side length 2 units to nearest square unit,10.0,5.0,geometrical area
582,area of regular hexagon with side length 5 units to nearest square unit,65.0,5.0,geometrical area
583,area of regular hexagon with side length 10 units to nearest square unit,260.0,5.0,geometrical area
584,area of regular pentagon with side length 2 units to nearest square unit,7.0,5.0,geometrical area
585,area of regular pentagon with side length 5 units to nearest square unit,43.0,5.0,geometrical area
586,area of rectangle with sides 7 units and 5 units,35.0,1.0,geometrical area
587,area of right triangle with perpendicular legs 7 units and 6 units,21.0,1.0,geometrical area
588,area of rectangle with sides 7 units and 10 units,70.0,1.0,geometrical area
589,area of right triangle with perpendicular legs 7 units and 10 units,35.0,1.0,geometrical area
590,area of rectangle with sides 7 units and 11 units,77.0,1.0,geometrical area
591,area of rectangle with sides 8 units and 2 units,16.0,1.0,geometrical area
592,area of right triangle with perpendicular legs 8 units and 2 units,8.0,1.0,geometrical area
593,area of right triangle with perpendicular legs 8 units and 5 units,20.0,1.0,geometrical area
594,area of rectangle with sides 8 units and 6 units,48.0,1.0,geometrical area
595,area of rectangle with sides 8 units and 8 units,64.0,1.0,geometrical area
596,area of right triangle with perpendicular legs 8 units and 8 units,32.0,1.0,geometrical area
597,area of rectangle with sides 8 units and 9 units,72.0,1.0,geometrical area
598,area of right triangle with perpendicular legs 8 units and 11 units,44.0,1.0,geometrical area
599,area of rectangle with sides 9 units and 5 units,45.0,1.0,geometrical area
600,area of right triangle with perpendicular legs 10 units and 3 units,15.0,1.0,geometrical area
601,area of rectangle with sides 10 units and 4 units,40.0,1.0,geometrical area
602,area of right triangle with perpendicular legs 10 units and 4 units,20.0,1.0,geometrical area
603,area of rectangle with sides 10 units and 5 units,50.0,1.0,geometrical area
604,area of rectangle with sides 10 units and 6 units,60.0,1.0,geometrical area
605,weight of $20 worth of quarters in pounds,1.0,3.0,weight
606,weight of $40 worth of quarters in pounds,2.0,3.0,weight
607,weight of $60 worth of quarters in pounds,3.0,3.0,weight
608,weight of $80 worth of quarters in pounds,4.0,3.0,weight
609,weight of $200 worth of quarters in pounds,10.0,3.0,weight
610,weight of $300 worth of quarters in pounds,15.0,3.0,weight
611,weight of $400 worth of quarters in pounds,20.0,3.0,weight
612,weight of $500 worth of quarters in pounds,25.0,3.0,weight
613,weight of $600 worth of quarters in pounds,30.0,3.0,weight
614,weight of $700 worth of quarters in pounds,35.0,3.0,weight
615,weight of $800 worth of quarters in pounds,40.0,3.0,weight
616,weight of $900 worth of quarters in pounds,45.0,3.0,weight
617,weight of $1000 worth of quarters in pounds,50.0,3.0,weight
618,weight of $2000 worth of quarters in pounds,100.0,3.0,weight
619,cost of building 53W53 (MoMA expansion tower) in USD,1000000000.0,1.0,architecture
620,worldwide box office for The Hangover in USD,466000000.0,2.0,film
621,worldwide box office for Gravity in USD,696000000.0,2.0,film
622,worldwide box office for How to Train Your Dragon in USD,495000000.0,2.0,film
623,worldwide box office for Tangled in USD,587000000.0,2.0,film
624,worldwide box office for Interstellar in USD,668000000.0,2.0,film
625,worldwide box office for Dunkirk in USD,507000000.0,2.0,film
626,worldwide box office for Taken in USD,227000000.0,2.0,film
627,worldwide box office for Prometheus in USD,402000000.0,2.0,film
628,worldwide box office for Terminator Salvation in USD,365000000.0,2.0,film
629,worldwide box office for Avatar in USD,2784000000.0,2.0,film
630,worldwide box office for Jurassic World in USD,1672000000.0,2.0,film
631,worldwide box office for The Avengers in USD,1519000000.0,2.0,film
632,worldwide box office for Finding Dory in USD,1023000000.0,2.0,film
633,worldwide box office for Avengers: Age of Ultron in USD,1408000000.0,2.0,film
634,worldwide box office for The Dark Knight Rises in USD,1084000000.0,2.0,film
635,worldwide box office for Toy Story 3 in USD,1070000000.0,2.0,film
636,worldwide box office for Wonder Woman in USD,817000000.0,2.0,film
637,worldwide box office for Iron Man 3 in USD,1215000000.0,2.0,film
638,worldwide box office for The Hunger Games in USD,678000000.0,2.0,film
639,worldwide box office for Up in USD,732000000.0,2.0,film
640,worldwide box office for Inception in USD,832000000.0,2.0,film
641,worldwide box office for Interstellar in USD,668000000.0,2.0,film
642,production budget for Avatar in USD,425000000.0,2.0,film
643,production budget for Jurassic World in USD,215000000.0,2.0,film
644,production budget for Iron Man 2 in USD,170000000.0,2.0,film
645,production budget for The Hangover in USD,35000000.0,2.0,film
646,production budget for Gravity in USD,110000000.0,2.0,film
647,worldwide sales of Back in Black by AC/DC,50000000.0,2.0,music
648,worldwide sales of Bad by Michael Jackson,35000000.0,2.0,music
649,worldwide sales of 21 by Adele,31000000.0,2.0,music
650,worldwide sales of 1 by The Beatles,31000000.0,2.0,music
651,worldwide sales of Metallica by Metallica,30000000.0,2.0,music
652,worldwide sales of Nevermind by Nirvana,30000000.0,2.0,music
653,worldwide sales of The Wall by Pink Floyd,30000000.0,2.0,music
654,worldwide sales of The Joshua Tree by U2,25000000.0,2.0,music
655,worldwide sales of Spice by Spice Girls,23000000.0,2.0,music
656,worldwide sales of Encore by Eminem,21000000.0,2.0,music
657,worldwide sales of Cross Road by Bon Jovi,21000000.0,2.0,music
658,worldwide sales of 25 by Adele,20000000.0,2.0,music
659,worldwide sales of Boston by Boston,20000000.0,2.0,music
660,worldwide sales of Dookie by Green Day,20000000.0,2.0,music
661,worldwide sales of Confessions by Usher,12000000.0,2.0,music
662,worldwide sales of X&Y by Coldplay,8000000.0,2.0,music
663,worldwide sales of Recovery by Eminem,6000000.0,2.0,music
664,worldwide sales of Lemonade by BeyoncÌ©,3000000.0,2.0,music
665,number of days in January,31.0,1.0,time
666,number of days in February in leap year,29.0,1.0,time
667,number of days in March,31.0,1.0,time
668,number of days in April,30.0,1.0,time
669,number of days in May,31.0,1.0,time
670,number of days in June,30.0,1.0,time
671,number of days in July,31.0,1.0,time
672,number of days in August,31.0,1.0,time
673,number of days in September,30.0,1.0,time
674,number of days in October,31.0,1.0,time
675,number of days in November,30.0,1.0,time
676,number of days in December,31.0,1.0,time
677,number of sides in a triangle,3.0,1.0,geometry
678,number of sides in a square,4.0,1.0,geometry
679,number of sides in a hexagon,6.0,1.0,geometry
680,number of sides in a pentagon,5.0,1.0,geometry
681,number of sides in an octogon,8.0,1.0,geometry
682,number of sides in a rhombus,4.0,1.0,geometry
683,number of sides in a rectangle,4.0,1.0,geometry
684,number of sides in a parallelogram,4.0,1.0,geometry
685,number of angles in a triangle,3.0,1.0,geometry
686,number of angles in a square,4.0,1.0,geometry
687,number of angles in a hexagon,6.0,1.0,geometry
688,number of angles in a pentagon,5.0,1.0,geometry
689,number of angles in an octogon,8.0,1.0,geometry
690,number of angles in a rhombus,4.0,1.0,geometry
691,number of angles in a rectangle,4.0,1.0,geometry
692,number of angles in a parallelogram,4.0,1.0,geometry
693,area of a square with side length one,1.0,1.0,geometrical area
694,area of a square with side length two,4.0,1.0,geometrical area
695,area of a square with side length three,9.0,1.0,geometrical area
696,area of a square with side length four,16.0,1.0,geometrical area
697,area of a square with side length five,25.0,1.0,geometrical area
698,area of a square with side length six,36.0,1.0,geometrical area
699,area of a square with side length seven,49.0,1.0,geometrical area
700,area of a square with side length eight,64.0,1.0,geometrical area
701,area of a square with side length nine,81.0,1.0,geometrical area
702,area of a square with side length ten,100.0,1.0,geometrical area
703,perimeter of a square with side length one,4.0,1.0,geometrical perimeter
704,perimeter of a square with side length two,8.0,1.0,geometrical perimeter
705,perimeter of a square with side length three,12.0,1.0,geometrical perimeter
706,perimeter of a square with side length four,16.0,1.0,geometrical perimeter
707,perimeter of a square with side length five,20.0,1.0,geometrical perimeter
708,perimeter of a square with side length six,24.0,1.0,geometrical perimeter
709,perimeter of a square with side length seven,28.0,1.0,geometrical perimeter
710,perimeter of a square with side length eight,32.0,1.0,geometrical perimeter
711,perimeter of a square with side length nine,36.0,1.0,geometrical perimeter
712,perimeter of a square with side length ten,40.0,1.0,geometrical perimeter
713,number of letters in first name of US president elected in 2016,6.0,1.0,civics
714,number of letters in first name of US president elected in 2008,6.0,1.0,civics
715,number of letters in first name of US president elected in 2000,6.0,1.0,civics
716,number of letters in first name of US president elected in 1992,7.0,1.0,civics
717,number of letters in first name of US president elected in 1988,6.0,1.0,civics
718,number of letters in first name of US president elected in 1980,6.0,1.0,civics
719,number of letters in first name of US president elected in 1976,5.0,1.0,civics
720,number of letters in first name of US president elected in 1968,7.0,1.0,civics
721,number of letters in first name of US president elected in 1960,4.0,1.0,civics
722,number of letters in last name of US president elected in 2016,5.0,1.0,civics
723,number of letters in last name of US president elected in 2008,5.0,1.0,civics
724,number of letters in last name of US president elected in 2000,4.0,1.0,civics
725,number of letters in last name of US president elected in 1992,7.0,1.0,civics
726,number of letters in last name of US president elected in 1988,4.0,1.0,civics
727,number of letters in last name of US president elected in 1980,6.0,1.0,civics
728,number of letters in last name of US president elected in 1976,5.0,1.0,civics
729,number of letters in last name of US president elected in 1968,5.0,1.0,civics
730,number of letters in last name of US president elected in 1960,7.0,1.0,civics
731,the largest even number smaller than ten,8.0,1.0,math
732,the largest even number smaller than five,4.0,1.0,math
733,the largest even number smaller than three,2.0,1.0,math
734,the largest even number smaller than twenty,18.0,1.0,math
735,the largest even number smaller than a hundred,98.0,1.0,math
736,the largest even number smaller than a thousand,998.0,1.0,math
737,the largest even number smaller than seven,6.0,1.0,math
738,the largest even number smaller than six,4.0,1.0,math
739,the largest even number smaller than fifty,48.0,1.0,math
740,the largest odd number smaller than ten,9.0,1.0,math
741,the largest odd number smaller than five,3.0,1.0,math
742,the largest odd number smaller than three,1.0,1.0,math
743,the largest odd number smaller than twenty,19.0,1.0,math
744,the largest odd number smaller than a hundred,99.0,1.0,math
745,the largest odd number smaller than a thousand,999.0,1.0,math
746,the largest odd number smaller than seven,5.0,1.0,math
747,the largest odd number smaller than six,5.0,1.0,math
748,the largest odd number smaller than fifty,49.0,1.0,math
749,the smallest even number greater than ten,12.0,1.0,math
750,the smallest even number greater than five,6.0,1.0,math
751,the smallest even number greater than three,4.0,1.0,math
752,the smallest even number greater than twenty,22.0,1.0,math
753,the smallest even number greater than a hundred,102.0,1.0,math
754,the smallest even number greater than a thousand,1002.0,1.0,math
755,the smallest even number greater than seven,8.0,1.0,math
756,the smallest even number greater than six,8.0,1.0,math
757,the smallest even number greater than fifty,52.0,1.0,math
758,the smallest even number greater than one,2.0,1.0,math
759,the sum of the digits from one to three,6.0,1.0,math
760,the sum of the digits from one to four,10.0,1.0,math
761,the sum of the digits from one to five,15.0,1.0,math
762,the smallest odd number greater than ten,11.0,1.0,math
763,the smallest odd number greater than five,7.0,1.0,math
764,the smallest odd number greater than three,5.0,1.0,math
765,the smallest odd number greater than twenty,21.0,1.0,math
766,the smallest odd number greater than a hundred,101.0,1.0,math
767,the smallest odd number greater than a thousand,1001.0,1.0,math
768,the smallest odd number greater than seven,9.0,1.0,math
769,the smallest odd number greater than six,7.0,1.0,math
770,the smallest odd number greater than fifty,51.0,1.0,math
771,the smallest odd number greater than one,2.0,1.0,math
772,the number of fingers on one hand,5.0,1.0,math
773,the number of fingers on two hands,10.0,1.0,math
774,the number of fingers on three hands,15.0,1.0,math
775,the number of fingers on four hands,20.0,1.0,math
776,two raised to the power of one,2.0,1.0,math
777,one raised to the power of one,1.0,1.0,math
778,three raised to the power of one,3.0,1.0,math
779,four raised to the power of one,4.0,1.0,math
780,a hundred raised to the power of one,100.0,1.0,math
781,two raised to the power of two,4.0,1.0,math
782,two raised to the power of three,8.0,1.0,math
783,two raised to the power of four,16.0,1.0,math
784,two raised to the power of zero,1.0,1.0,math
785,ten raised to the power of one,10.0,1.0,math
786,ten raised to the power of two,100.0,1.0,math
787,ten raised to the power of three,1000.0,1.0,math
788,ten raised to the power of four,10000.0,1.0,math
789,ten raised to the power of five,100000.0,1.0,math
790,ten raised to the power of six,1000000.0,1.0,math
791,the side length of a square with area one,1.0,1.0,geometrical area
792,the side length of a square with an area of four units,2.0,1.0,geometrical area
793,the side length of a square with an area of nine units,3.0,1.0,geometrical area
794,the side length of a square with an area of sixteen units,4.0,1.0,geometrical area
795,the side length of a square with an area of twenty-five units,5.0,1.0,geometrical area
796,the side length of a square with an area of thirty-six units,6.0,1.0,geometrical area
797,the side length of a square with an area of one hundred units,10.0,1.0,geometrical area
798,the side length of a square with an area of forty-nine units,7.0,1.0,geometrical area
799,the side length of a square with an area of one million units,1000.0,1.0,geometrical area
800,the side length of a square with an area of ten thousand units,100.0,1.0,geometrical area
801,the side length of a square with an area of sixty-four units,8.0,1.0,geometrical area
802,the largest prime number smaller than ten,7.0,2.0,math
803,the largest prime number smaller than five,3.0,2.0,math
804,the largest prime number smaller than twenty,19.0,2.0,math
805,the largest prime number smaller than a hundred,97.0,2.0,math
806,the largest prime number smaller than a thousand,997.0,2.0,math
807,the largest prime number smaller than seven,5.0,2.0,math
808,the largest prime number smaller than six,5.0,2.0,math
809,the largest prime number smaller than fifty,47.0,2.0,math
810,the largest prime number smaller than four,3.0,2.0,math
811,the largest prime number smaller than eight,7.0,2.0,math
812,the positive square root of thirthy-six,6.0,1.0,math
813,the positive square root of one hundred,10.0,1.0,math
814,the positive square root of forty-nine,7.0,1.0,math
815,the positive square root of one million,1000.0,1.0,math
816,the positive square root of ten thousand,100.0,1.0,math
817,the positive square root of sixty-four,8.0,1.0,math
818,the number of black Jacks in a pack of cards,2.0,1.0,cards
819,the number of black Queens in a pack of cards,2.0,1.0,cards
820,the number of black Aces in a pack of cards,2.0,1.0,cards
821,the number of black Kings in a pack of cards,2.0,1.0,cards
822,the number of black face cards in a pack of cards,6.0,1.0,cards
823,the number of black pip cards in a pack of cards,20.0,1.0,cards
824,the number of black even-numbered cards in a pack of cards,10.0,1.0,cards
825,the number of red Jacks in a pack of cards,2.0,1.0,cards
826,the number of red Queens in a pack of cards,2.0,1.0,cards
827,the number of red Aces in a pack of cards,2.0,1.0,cards
828,the number of red Kings in a pack of cards,2.0,1.0,cards
829,the number of red face cards in a pack of cards,6.0,1.0,cards
830,the number of red even-numbered cards in a pack of cards,10.0,1.0,cards
831,the number of Jacks in a pack of cards,4.0,1.0,cards
832,the number of Queens in a pack of cards,4.0,1.0,cards
833,the number of Aces in a pack of cards,4.0,1.0,cards
834,the number of Kings in a pack of cards,4.0,1.0,cards
835,the number of face cards in a pack of cards,12.0,1.0,cards
836,the number of even-numbered cards in a pack of cards,20.0,1.0,cards
837,smallest number of pennies and nickels needed to make $0.01,1.0,1.0,coins
838,smallest number of pennies and nickels needed to make $0.02,2.0,1.0,coins
839,smallest number of pennies and nickels needed to make $0.03,3.0,1.0,coins
840,smallest number of pennies and nickels needed to make $0.04,4.0,1.0,coins
841,smallest number of pennies and nickels needed to make $0.05,1.0,1.0,coins
842,smallest number of pennies and nickels needed to make $0.06,2.0,1.0,coins
843,smallest number of pennies and nickels needed to make $0.07,3.0,1.0,coins
844,smallest number of pennies and nickels needed to make $0.08,4.0,1.0,coins
845,smallest number of pennies and nickels needed to make $0.09,5.0,1.0,coins
846,smallest number of dimes needed to make $0.10,1.0,1.0,coins
847,the remainder when two is divided by two,0.0,1.0,remainder
848,the remainder when three is divided by two,1.0,1.0,remainder
849,the remainder when four is divided by two,0.0,1.0,remainder
850,the remainder when five is divided by two,1.0,1.0,remainder
851,the remainder when six is divided by two,0.0,1.0,remainder
852,the remainder when seven is divided by two,1.0,1.0,remainder
853,the remainder when eight is divided by two,0.0,1.0,remainder
854,the remainder when nine is divided by two,1.0,1.0,remainder
855,the remainder when ten is divided by two,0.0,1.0,remainder
856,the remainder when eleven is divided by two,1.0,1.0,remainder
857,the remainder when twelve is divided by two,0.0,1.0,remainder
858,the remainder when fifteen is divided by two,1.0,1.0,remainder
859,the remainder when twenty is divided by two,0.0,1.0,remainder
860,the remainder when thirty is divided by two,0.0,1.0,remainder
861,the remainder when forty is divided by two,0.0,1.0,remainder
862,the remainder when fifty is divided by two,0.0,1.0,remainder
863,the remainder when one hundred is divided by two,0.0,1.0,remainder
864,the remainder when fifty-one is divided by two,1.0,1.0,remainder
865,the remainder when one billion is divided by two,0.0,1.0,remainder
866,the remainder when one million is divided by two,0.0,1.0,remainder
867,the remainder when ninety-nine is divided by two,1.0,1.0,remainder
868,the remainder when eighty-eight is divided by two,0.0,1.0,remainder
869,the remainder when three is divided by three,0.0,1.0,remainder
870,the remainder when four is divided by three,1.0,1.0,remainder
871,the remainder when five is divided by three,2.0,1.0,remainder
872,the remainder when six is divided by three,0.0,1.0,remainder
873,the remainder when seven is divided by three,1.0,1.0,remainder
874,the remainder when eight is divided by three,2.0,1.0,remainder
875,the remainder when nine is divided by three,0.0,1.0,remainder
876,the remainder when ten is divided by three,1.0,1.0,remainder
877,the remainder when eleven is divided by three,2.0,1.0,remainder
878,the remainder when twelve is divided by three,0.0,1.0,remainder
879,the remainder when fifteen is divided by three,0.0,1.0,remainder
880,the remainder when twenty is divided by three,2.0,1.0,remainder
881,the remainder when thirty is divided by three,0.0,1.0,remainder
882,the remainder when forty is divided by three,1.0,1.0,remainder
883,the remainder when fifty is divided by three,2.0,1.0,remainder
884,the remainder when one hundred is divided by three,1.0,1.0,remainder
885,the remainder when fifty-one is divided by three,0.0,1.0,remainder
886,the remainder when one billion is divided by three,1.0,1.0,remainder
887,the remainder when ninety-nine is divided by three,0.0,1.0,remainder
888,"Rank of Apple Inc. among world companies by market cap, at end 2016",1.0,4.0,market cap
889,"Rank of Alphabet Inc. among world companies by market cap, at end 2016",2.0,4.0,market cap
890,"Rank of Microsoft among world companies by market cap, at end 2016",3.0,4.0,market cap
891,"Rank of Amazon.com among world companies by market cap, at end 2016",4.0,4.0,market cap
892,"Rank of Berkshire Hathaway among world companies by market cap, at end 2016",5.0,4.0,market cap
893,"Rank of ExxonMobil among world companies by market cap, at end 2016",6.0,4.0,market cap
894,"Rank of Johnson & Johnson among world companies by market cap, at end 2016",7.0,4.0,market cap
895,"Rank of Facebook among world companies by market cap, at end 2016",8.0,4.0,market cap
896,"Rank of JPMorgan Chase among world companies by market cap, at end 2016",9.0,4.0,market cap
897,"Rank of WellsFargo among world companies by market cap, at end 2016",10.0,4.0,market cap
898,Year of independence of Australia,1901.0,4.0,history
899,Sales of Don Quixote by Miguel de Cervantes,500000000.0,4.0,literature
900,Sales of A Tale of Two Cities by Charles Dickens,200000000.0,4.0,literature
901,Sales of The Lord of the Rings by J. R. R. Tolkien,150000000.0,4.0,literature
902,Sales of Le Petit Prince by Antoine de Saint-Exupery,140000000.0,4.0,literature
903,Sales of Harry Potter and the Philosopher‰Ûªs Stone by J. K. Rowling,120000000.0,4.0,literature
904,Sales of The Hobbit by J. R. R. Tolkien,100000000.0,4.0,literature
905,Sales of And Then There Were None by Agatha Christie,100000000.0,4.0,literature
906,Year of publication of Don Quixote by Miguel de Cervantes,1605.0,4.0,history
907,Year of publication of A Tale of Two Cities by Charles Dickens,1859.0,4.0,history
908,Year of publication of Le Petit Prince by Antoine de Saint-Exupery,1943.0,4.0,history
909,Year of publication of Harry Potter and the Philosopher‰Ûªs Stone by J. K. Rowling,1997.0,4.0,history
910,Year of publication of The Hobbit by J. R. R. Tolkien,1937.0,4.0,history
911,Year of publication of And Then There Were None by Agatha Christie,1939.0,4.0,history
912,"Sales of The Lion, the Witch and the Wardrobe by C. S. Lewis",85000000.0,4.0,literature
913,Percentage of population using the internet in China as of 2016,53.2,4.0,internet
914,Percentage of population using the internet in India as of 2016,29.55,4.0,internet
915,Percentage of population using the internet in the United States as of 2016,76.18,4.0,internet
916,Percentage of population using the internet in Brazil as of 2016,59.68,4.0,internet
917,Percentage of population using the internet in Japan as of 2016,92.0,4.0,internet
918,Percentage of population using the internet in Russia as of 2016,76.41,4.0,internet
919,Percentage of population using the internet in Mexico as of 2016,59.54,4.0,internet
920,Percentage of population using the internet in Germany as of 2016,89.65,4.0,internet
921,Percentage of population using the internet in Indonesia as of 2016,25.37,4.0,internet
922,Percentage of population using the internet in United Kingdom as of 2016,94.78,4.0,internet
923,Percentage of population using the internet in Philippines as of 2016,55.5,4.0,internet
924,Percentage of population using the internet in France as of 2016,85.62,4.0,internet
925,Percentage of population using the internet in Nigeria as of 2016,25.67,4.0,internet
926,Percentage of population using the internet in South Korea as of 2016,92.72,4.0,internet
927,Revenues of Walmart for 2016 in USD,485873000000.0,4.0,revenue
928,Revenues of Toyota for 2016 in USD,254694000000.0,4.0,revenue
929,Revenues of Volkswagen Group for 2016 in USD,240264000000.0,4.0,revenue
930,Revenues of Berkshire Hathaway for 2016 in USD,223604000000.0,4.0,revenue
